ServiceType,TypedStrings,AcceptString
train,[''],کرمان
bus,['شیراز'],شیراز
bus,"['ی', 'یط', 'ی']",یزد
flight,[''],تهران
train,[''],مشهد
bus,"['ش', 'شه']",شهرکرد
bus,"['ا', 'ار', 'ارد']",اردبیل
taxi,[''],اصفهان
flight,"['ت', 'تب', 'تبر']",تبریز
train,[''],مشهد
train,[''],کرمان
flight,"['', 'م', 'مش']",مشهد
bus,['تهران'],تهران
taxi,[''],فرودگاه امام خمینی
flight,[''],تهران
taxi,[''],تهران
flight,[''],قشم
bus,"['', 'ش', 'شو', 'شوش', 'شوشت', 'شوشتر']",شوشتر
bus,['کرمان'],کرمان
flight,"['ی', 'یز', 'یزد']",یزد
flight,[''],تهران
hotel,['اردبیل'],اردبیل
train,"['', 'س', 'سر', 'سرخ', 'سرخس']",سرخس
flight,[''],تهران
flight,[''],تهران
taxi,['تهران'],تهران
bus,['تهران'],تهران
bus,[''],مشهد
bus,[''],شیراز
taxi,['تهران'],تهران
bus,['تهران'],تهران
bus,"['', 'ق', 'قز']",قزوین
bus,['اهواز - همه پایانه\u200cها'],اهواز
flight,[''],تهران
bus,"['', 'ع', 'عس']",عسلویه
bus,[''],خرم آباد
flight,"['آ', 'آب', 'آبا']",آبادان
bus,"['', 'ز', 'زر', 'زری', 'زرین', 'زرین ', 'زرین د', 'زرین دش', 'زرین دشت', '', '', 'د', 'دا', 'دار', 'دارا', 'داراب']",داراب
flight,"['ک', 'کر']",کرمان
flight,"['', '', 'س']",سنندج
bus,[''],سمنان
bus,[''],تهران
bus,[''],خرم آباد
bus,['قم'],قم
hotel,['قم'],قم
bus,[''],ارومیه
train,"['ا', 'اه']",اهواز
flight,[''],تهران
flight,[''],یزد
bus,[''],ماکو
bus,"['', 'ب', 'بن']",بندرعباس
bus,"['', '', '']",اهواز
flight,[''],یزد
hotel,['اهواز'],اهواز
flight,"['', 'ل', '', 'ت']",تبریز
train,"['کر', 'کرج']",کرج
bus,"['رشت', 'رش', 'ر', '', 'ق', 'قز', 'ق', '']",کرج
bus,['تبریز'],تبریز
hotel,['تبریز'],تبریز
flight,[''],تهران
flight,[''],یزد
bus,"['گ', 'گن', 'گنب', 'گنبد']",گنبد کاووس
bus,['تهران'],تهران
bus,"['', 'ب', 'بو']",بوشهر
bus,"['ا', 'اص', 'اصفهان', 'اصفهان ', 'اصفهان', 'اصفها', 'اصفه', 'اصف', 'اص', 'ا', '']",اهواز
train,"['ز', 'زن']",زنجان
train,[''],مشهد
bus,"['', 'ک', 'کل', 'کلا']",کلاچای
train,"['ک', 'کر', 'کرج']",کرج
taxi,"['دل', 'دلی', 'دلیج', '', 'ارا', 'اراک']",اراک
bus,[''],لنگرود
train,[''],تهران
train,[''],تهران
bus,"['', '', '', 'ت']",تربت جام
train,[''],قم
taxi,[''],تهران
hotel,['اهواز'],اهواز
train,"['o', '', 'خ', 'خر', 'خرم']",خرمشهر
hotel,['بوشهر'],بوشهر
bus,[''],بوشهر
flight,[''],تهران
flight,"['', 'f', 'fd', 'fdv']",بیرجند
taxi,"['', 'مح', 'محلا', 'محلات', 'محلات ', 'محلات', '', 'قم']",قم
taxi,['کرج'],کرج
bus,"['', '']",آبادان
taxi,['قم'],قم
flight,"['', 'ش', 'شی']",شیراز
bus,"['', '', 'گرگ', 'گرگان']",گرگان
hotel,['قم'],قم
bus,['قم'],قم
train,[''],تهران
bus,"['', '', '', 'رش', 'رشت']",رشت
bus,['قم'],قم
bus,"['سمنا', 'سمنان']",سمنان
flight,"['', 'د', 'دب', 'دبی', 'دب', 'د', '']",تفلیس
flight,[''],تهران
flight,['تفلیس'],تفلیس
hotel,['قم'],قم
taxi,"['ق', '', 'ز', 'زن', 'زنج', 'زنجا', 'زنجان']",زنجان
bus,[''],بندرعباس
flight,[''],تهران
flight,[''],کیش
taxi,[''],اراک
taxi,"['ق', 'قز', 'قزو', 'قزوی', 'قزوین', 'قزوی', 'قزو', 'قز', 'ق', '', 'ک']",کرج
train,[''],شیراز
flight,[''],تهران
flight,"['چ', 'چا']",چابهار
flight,"['سا', 'ساری']",ساری
train,"['', '']",مشهد
flight,[''],تهران
flight,"['', 'ر']",رشت
bus,[''],شیراز
bus,['مشهد'],مشهد
train,"['', '', 'گرگ', 'گرگا', 'گرگان']",گرگان
flight,[''],بندرعباس
flight,"['', '', '', '']",بندرعباس
bus,"['ه', '', 'ا', 'اه', 'اهو', 'اهوا', 'اهواز']",اهواز
flight,[''],تهران
flight,"['', 'س', 'سی']",سیرجان
flight,[''],اصفهان
flight,[''],تفلیس
hotel,['سیرجان'],سیرجان
flight,"['', 'ک']",کرمان
bus,['سیرجان'],سیرجان
bus,['ساری'],ساری
hotel,['ساری'],ساری
train,"['ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
train,"['س', 'سم', 'سمن', 'سمنا', 'سمنان']",سمنان
train,"['', '', '']",ساری
flight,"['ش', 'شا', 'شار']",شارجه
hotel,['عسلویه'],عسلویه
flight,[''],تهران
flight,"['', 'د', 'دب', 'دبی']",دبی
flight,"['', 'ب', 'بن', 'بند']",تهران
hotel,['ساری'],ساری
train,[''],شیراز
hotel,['آبادان'],آبادان
taxi,['سمنان'],سمنان
bus,['سمنان'],سمنان
hotel,['سمنان'],سمنان
train,[''],دامغان
bus,['سنندج'],سنندج
taxi,['سنندج'],سنندج
hotel,['سنندج'],سنندج
train,[''],مشهد
train,['ک'],کرمان
bus,['قم'],قم
train,"['', 'ساری']",ساری
train,[''],تهران
train,[''],خرم دره
flight,"['', 'L', 'La', 'Lax']",لس‌آنجلس
bus,['تهران'],تهران
train,['سم'],سمنان
hotel,['همدان'],همدان
flight,"['ک', 'کر', 'کرم']",کرمان
train,"['شت', 'شا']",شاهرود
bus,[''],تهران
flight,[''],تهران
bus,"['ا', 'اق', 'اقل', 'اقلی', 'اقلید']",اقلید
bus,['لاه'],لاهیجان
bus,[''],شیراز
bus,[''],شیراز
bus,[''],اصفهان
bus,['شیراز'],شیراز
flight,"['ش', 'شی', 'شیر', 'شیرا', 'شیراز']",شیراز
flight,"['', 'شیراز']",شهید دستغیب
hotel,['لاهیجان'],لاهیجان
bus,[''],شیراز
train,['ش'],شاهرود
bus,[''],ماهشهر
flight,"['', 'ساری']",ساری
train,[''],مشهد
flight,"['ش', 'شی', 'شیر', 'شیرر', 'شیررز', 'شیرر', 'شیر', 'شیرا', 'شیراز']",شیراز
hotel,['ساری'],ساری
bus,['شیراز'],شیراز
train,"['', 'س', 'سا', 'سار']",ساری
flight,['شهید دستغیب'],شهید دستغیب
taxi,['ق'],قم
flight,[''],تهران
flight,"['', 'د', 'دب', 'دبی', 'دبی ']",دبی
flight,"['ب', 'بو', 'بوش', 'بوشه', 'بوشهر']",بوشهر
bus,['تهران'],تهران
bus,['اصفهان'],اصفهان
flight,"['ب', 'بن', 'بند', 'بندر', 'بندرع', 'بندرعب', 'بندرعبا', 'بندرعباس']",بندرعباس
flight,"['', 'ب', 'بغ']",بغداد
flight,[''],نجف
bus,[''],اصفهان
flight,[''],اصفهان
flight,[''],تهران
bus,[''],یزد
flight,[''],مشهد
train,"['', 'ک', 'کر', 'کرج']",کرج
bus,[''],کرج
flight,[''],شیراز
bus,[''],شاهرود
hotel,['بندرعباس'],بندرعباس
bus,['قم'],قم
flight,"['شیراز', '']",کیش
bus,['کرمان'],کرمان
hotel,['کرمان'],کرمان
flight,"['', '']",کرمان
bus,['اندیمشک'],اندیمشک
hotel,['اندیمشک'],اندیمشک
train,"['', 'ا', 'اه']",اهواز
flight,"['', ';', ';v']",کرمانشاه
bus,"['', 'د', 'دو', 'دور', 'دورو', 'دورود']",دورود
bus,[''],اهواز
bus,[''],شیراز
bus,"['', 'تب', 'تبری', 'تبریز', 'تبریز ', 'تبریز']",تبریز
bus,"['ت', 'تبر', 'تبریز']",تبریز
flight,"['م', 'مس', 'مسق', 'مسقط']",مسقط
flight,[''],تهران
flight,"['', 'م', 'مش']",مشهد
bus,['مشهد'],مشهد
bus,['تهران'],تهران
flight,[''],اصفهان
flight,"['', 'h', 'hv', 'hvh', 'hvh.', 'hvh']",اراک
bus,"['ارا', 'اراک']",اراک
ship,['بندرعباس'],بندرعباس
ship,['شارجه'],شارجه
train,"['کرج', 'کرجر', 'کرج']",کرج
flight,[''],تهران
bus,"['کا', 'کار', 'کارا', 'کاران', 'کاراند', 'کاراندی', 'کاراندیش', 'کاراندی', 'کاران', 'ک', '', 'ش', 'شیرا', 'شیراز', '', 'ا', 'اقلی', 'اقلید']",اقلید
hotel,['کرمان'],کرمان
flight,"['', 'ن', 'نج']",نجف
bus,['میانه'],میانه
bus,['مشهد'],مشهد
flight,"['', '', '', '']",زاهدان
bus,['گرگان'],گرگان
taxi,['گرگان'],گرگان
hotel,['گرگان'],گرگان
bus,[''],شیراز
bus,[''],اراک
bus,"['', 'ق', 'قش', 'قشم']",قشم
bus,[''],اصفهان
flight,"['', 'زا', 'زابل']",زابل
bus,[''],خمین
flight,"['', '', '']",تهران
flight,[''],عسلویه
bus,"['', '', '']",تهران
flight,[''],تهران
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
bus,"['ق', 'قم']",قم
flight,"['س', 'سا', 'سار', 'سارس', 'سار', 'ساری', '', 'س', 'سا', 'سار', 'سارس', 'ساری']",ساری
bus,[''],تهران
hotel,['اراک'],اراک
bus,['نیشابور'],نیشابور
hotel,['بابلسر'],بابلسر
taxi,['تهران'],تهران
flight,"['', 'ت', 'ته']",تهران
train,[''],تهران
flight,[''],مشهد
bus,['تهران'],تهران
flight,[''],مشهد
flight,"['م', 'مش', 'مشه', 'مشهد']",مشهد
flight,[''],اصفهان
flight,"['ز', 'زا', 'زاه', 'زاهد', 'زاهدا', 'زاهدان']",زاهدان
flight,"['ب', 'بو']",بوشهر
bus,"['', 'تهرا', 'تهران']",تهران
hotel,['جهرم'],جهرم
flight,"['', 'ز']",زاهدان
flight,"['', '', '', 'ب', 'بو']",بوشهر
bus,"['', 'خد', 'خدم', 'خرم', 'خرم ']",خرم آباد
flight,"['', '', '']",تهران
train,[''],مشهد
bus,"['', 'شیرا']",شیراز
bus,[''],تهران
train,[''],تهران
bus,[''],خمین
flight,[''],مشهد
bus,['مشهد'],مشهد
flight,['ب'],بوشهر
flight,[''],تهران
flight,[''],کرمان
flight,"['', 'ب']",بوشهر
flight,[''],تهران
flight,"['', 'ش', 'شی', 'شیر', 'شیرا', 'شیراز']",شیراز
flight,[''],تهران
flight,"['', 'ی', 'یز', 'یزد']",یزد
flight,[''],تهران
flight,[''],مشهد
train,"['زاه', 'زاهدان']",زاهدان
bus,"['ش', 'شا', 'شاه']",شاهرود
flight,[''],اهواز
bus,['تهران'],تهران
taxi,"['ر', 'را', 'رام', 'رامس', 'رامسر', '', 'ر', 'را']",رامسر
bus,[''],تبریز
bus,['مشهد'],مشهد
flight,[''],اردبیل
bus,[''],کرج
hotel,['بندرعباس'],بندرعباس
hotel,['ساری'],ساری
bus,"['ک', 'کر']",کرج
bus,[''],شیراز
hotel,['کرمان'],کرمان
bus,['ساری'],ساری
bus,[''],جهرم
bus,"['', 'گر', 'گرگ', 'گرگا', 'گرگان']",گرگان
bus,"['', '', '', 'سار', 'ساری']",ساری
bus,"['ا', 'ار', 'ارا']",اراک
bus,"['', 'ا', 'ار', 'ارد', 'ار', 'ا', '']",یزد
flight,"['', 'ب', 'بو']",بوشهر
bus,"['', 'س', 'سق', 'سقز']",سقز
bus,['اردبیل'],اردبیل
hotel,['اردبیل'],اردبیل
flight,"['شهید دستغیب', '']",مشهد
bus,"['ق', 'قم']",قم
bus,['تبریز'],تبریز
hotel,['تبریز'],تبریز
flight,[''],بندرعباس
train,[''],میبد
bus,['مشهد'],مشهد
flight,"['شهدای پرواز ۶۵۵ هما', '']",قشم
bus,['تهران'],تهران
flight,[''],بندرعباس
flight,[''],اهواز
flight,[''],رشت
bus,"['نکا', '']",اصفهان
flight,"['', 'ب']",بوشهر
taxi,['بهشهر'],بهشهر
hotel,['بهشهر'],بهشهر
flight,[''],شیراز
bus,[''],بندر انزلی
bus,"['', 'ا', 'ار', 'ارو', 'اروم', 'ارومی', 'اروم', 'ارو', 'ار', 'ا', '', 'ت']",تبریز
hotel,['بوشهر'],بوشهر
bus,['تهران'],تهران
bus,['نکا'],نکا
flight,"['', 'ب', 'بو']",بوشهر
train,"['', 'ن', 'نیش']",نیشابور
train,"['', '', '', '']",مشهد
hotel,['رشت'],رشت
bus,['رشت'],رشت
train,"['', '', '', '', '']",تبریز
hotel,['تهران'],تهران
flight,"['', '', 'عس']",عسلویه
flight,"['', '', '', '', '', 'اص']",اصفهان
bus,['طبس'],طبس
hotel,['طبس'],طبس
train,[''],یزد
train,['اصف'],اصفهان
bus,['مشهد'],مشهد
bus,"['', 'ر', 'رش']",رشت
bus,"['', 'ت', 'ته']",تهران
bus,"['', 'ت', '', 'ا']",ارومیه
bus,[''],بابل
bus,"['', 'ا', 'از']",ازنا
flight,"['', 'ق', 'قش', 'قشم']",قشم
flight,[''],شیراز
hotel,['یزد'],یزد
bus,['شیراز'],شیراز
train,[''],مشهد
bus,['مشهد'],مشهد
train,"['ن', '', 'ز', 'زن']",زنجان
bus,['شیراز'],شیراز
flight,[''],مشهد
bus,['شیراز'],شیراز
bus,['مشهد'],مشهد
taxi,"['س', 'سا', 'سار', 'ساری']",ساری
bus,['اصفهان'],اصفهان
bus,['تهران'],تهران
bus,['اصفهان'],اصفهان
flight,"['', 'شی', 'شیرا', 'شیراز']",شیراز
bus,"['', 'تهران']",تهران
bus,['شیراز'],شیراز
bus,['تهران'],تهران
bus,"['', 'بندر', 'بندرع']",بندرعباس
taxi,"['س', 'سا', 'سار', 'ساری']",ساری
bus,['مشهد'],مشهد
bus,[''],تهران
taxi,['تهران'],تهران
bus,['تهران'],تهران
taxi,"['ق', 'قز', 'قزو', 'قزوی', 'قزوین', 'قزوی', 'قزو', 'قز', 'ق', '']",تهران
bus,['اصفهان'],اصفهان
train,[''],تهران
bus,"['', '']",اصفهان
bus,"['', '', '']",ایلام
bus,[''],کرمان
bus,"['', 'ب', 'بل', 'بلف', 'بل', 'ب']",بافت
train,[''],تهران
flight,[''],تهران
bus,['تهران'],تهران
flight,"['', 'ق', 'قش', 'قشم']",قشم
taxi,[''],تهران
hotel,['شیراز'],شیراز
train,[''],همدان
hotel,['سیرجان'],سیرجان
train,['نیش'],نیشابور
flight,"['', 'ب', 'بن', 'بند', 'بندر', 'بندرع', 'بندرعب', 'بندرعبا', 'بندرعباس']",بندرعباس
train,[''],مشهد
bus,['تهران'],تهران
bus,"['', 'س', 'سی']",سیرجان
flight,"['', 'ر', 'رش']",رشت
bus,['تهران'],تهران
taxi,['تهران'],تهران
taxi,['قم'],قم
bus,['قم'],قم
hotel,['قم'],قم
flight,"['', 'f', 'fk']",بندر لنگه
bus,['مشهد'],مشهد
bus,[''],تهران
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,[''],شیراز
bus,['سبزوار'],سبزوار
bus,"['ع', 'عس']",عسلویه
flight,[''],رشت
bus,[''],اصفهان
flight,[''],کیش
taxi,['اراک'],اراک
hotel,['اراک'],اراک
bus,"['', '', '']",نجف آباد
flight,"['', 'ی']",یزد
bus,"['س', 'سم', 'سمن', 'سمنا', 'سمنان', 'سمنا', '']",تهران
train,[''],مشهد
train,[''],مشهد
flight,"['', 'ک', 'کن', 'کنا', 'کنار', 'کنارک']",چابهار
train,[''],خرم دره
bus,['مشهد'],مشهد
train,[''],اهواز
flight,['مهرآباد'],مهرآباد
flight,['شهید هاشمی نژاد'],شهید هاشمی نژاد
bus,['تهران'],تهران
bus,"['ع', 'عس']",عسلویه
flight,[''],گرگان
bus,['تهران'],تهران
flight,[''],تهران
bus,['ایلام'],ایلام
bus,[''],تهران
train,[''],مشهد
flight,[''],تهران
bus,[''],کرج
train,[''],مشهد
flight,"['', 'ت', 'تب', 'تبر', 'تبری', 'تبریز']",تبریز
train,[''],مشهد
hotel,"['خ', 'خر', 'خرم', '', 'ز', 'زن', 'زنج']",زنجان
flight,"['ب', 'بو']",بوشهر
train,[''],تهران
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
train,[''],مشهد
train,[''],تهران
train,"['', 'ک', 'کر', 'کرب']",کربلا
bus,"['ل', '', 'ا', 'ار', 'ارد']",اردکان
flight,"['', 'ب', 'بن', 'بند', 'بندر', 'بندرغ', 'بندر', 'بندرع', 'بندرعب', 'بندرعبا', 'بندرعباس', 'م', 'مس', 'مسق', 'مسقط']",مسقط
bus,"['م', 'مش']",مشهد
bus,[''],ساری
flight,"['', '', '', '', '', 'ب', 'بن', 'بند', 'بندر', 'بندرع', 'بندرعب', 'بندرعبا', 'بندرعباس']",بندرعباس
train,"['ک', 'کر', 'کرج']",کرج
bus,"['', '']",گناباد
hotel,['قم'],قم
bus,['قم'],قم
taxi,['قم'],قم
hotel,['بندرعباس'],بندرعباس
bus,['تهران'],تهران
bus,"['', '']",مشهد
bus,[''],شیراز
bus,['جهر'],جهرم
bus,"['', '', '']",مشهد
bus,[''],جهرم
train,"['ت', 'تب', 'تبر', 'تبری', 'تبر', 'تب', 'ت', '', 'م', 'مر', 'مرن', 'مر', 'م', '', 'ت', 'تب', 'تبر', 'تبری', 'تبریز']",تبریز
bus,"['', 'ک', 'کرک', 'کر', 'کرک', 'کر', 'کرج', '', 'ت']",تیران
bus,[''],لار
bus,"['', '', '']",گناباد
flight,"['', 'س', 'سا', 'سار']",ساری
hotel,['تهران'],تهران
train,[''],تهران
hotel,['بندرعباس'],بندرعباس
hotel,['لار'],لار
flight,"['', '']",اهواز
train,[''],تهران
flight,[''],بندرعباس
flight,"['', '']",تهران
flight,[''],مسقط
bus,[''],شیراز
flight,[''],رشت
flight,[''],شیراز
bus,"['بابل', '', 'ساری']",ساری
bus,['ایلام'],ایلام
bus,['تهران'],تهران
bus,['اصفهان'],اصفهان
train,"['ترب', 'تربت']",تربت حیدریه
bus,"['ب', 'بی', 'بیر']",بیرجند
train,[''],تهران
flight,"['', '', '']",سیرجان
flight,"['', '', '']",تهران
flight,[''],شیراز
flight,"['', 'عس']",عسلویه
flight,"['س', 'سا', 'سار']",ساری
flight,"['', ';', '', 'ک', 'کی', 'کیش']",کیش
flight,['شهید هاشمی نژاد'],شهید هاشمی نژاد
bus,['تهران'],تهران
flight,"['', 'ب', 'بن', 'بند']",بندرعباس
flight,"['ا', 'ار', 'ارد']",اردبیل
train,"['', 'اردک', 'اردکا', 'اردکان']",اردکان
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,"['', 'س', 'سا', 'سار', '', 'گ', 'گر', 'گرگ']",گرگان
bus,['تهران'],تهران
flight,"['ر', 'رش']",رشت
flight,"['', '', '']",تهران
flight,"['', 'س', 'سا', 'سار']",ساری
bus,['شیراز'],شیراز
flight,"['', '', '', 'ر', 'رش', 'رشت']",رشت
flight,[''],تبریز
bus,['تهران'],تهران
taxi,"['', 'ق', 'قز', 'قزو', 'قزوی', 'قزوین', 'قزوی', 'قزو', 'قز', 'ق', '']",رامسر
bus,"['ل', 'لا', 'لاه']",لاهیجان
flight,"['', 'س', 'سا']",ساری
taxi,[''],لاهیجان
taxi,[''],تهران
bus,['تهران'],تهران
hotel,['عسلویه'],عسلویه
bus,['کنگان'],کنگان
bus,['کرمانشاه'],کرمانشاه
hotel,['کرمانشاه'],کرمانشاه
taxi,['کرمانشاه'],کرمانشاه
train,[''],شیراز
bus,['خوی'],خوی
hotel,['جلفا'],جلفا
train,"['', '']",مشهد
taxi,['رشت'],رشت
bus,['رشت'],رشت
hotel,['رشت'],رشت
flight,"['ک', 'کی', 'کیش']",کیش
bus,['تبریز'],تبریز
bus,['خرمشهر'],خرمشهر
hotel,['آبادان'],آبادان
train,"['', 'ت', 'تا']",تاکستان
taxi,['رشت'],رشت
bus,['رشت'],رشت
hotel,['تبریز'],تبریز
flight,['ز'],زاهدان
taxi,['بابل'],بابل
bus,[''],تهران
bus,[''],بابل
flight,[''],تهران
bus,['تهران'],تهران
flight,"['', 'شهر']",شهرکرد
train,"['', 'ک', 'کر', 'کرج']",کرج
bus,['مشهد'],مشهد
taxi,"['ارا', 'ارام', 'اراک']",اراک
flight,[''],ارومیه
flight,"['', '', '']",اصفهان
flight,[''],سنندج
flight,[''],مشهد
bus,['زاهدان'],زاهدان
hotel,['زاهدان'],زاهدان
bus,['تهران'],تهران
train,"['ز', 'زا']",زاهدان
hotel,['اراک'],اراک
bus,['اراک'],اراک
flight,[''],مشهد
flight,[''],بندرعباس
train,"['K', 'Ks', 'Ksh', 'Ks', 'K', '', 'ك', 'كر', 'كرم', 'كرما']",کرمانشاه
flight,[''],تهران
bus,[''],بروجرد
flight,"['', 'ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
flight,"['', 'ب', 'بن']",بندرعباس
flight,[''],تهران
bus,"['ش', 'شه', 'شهر', 'شهرک', 'شهرکر']",شهرکرد
bus,['تهران'],تهران
bus,"['', 'ساری']",ساری
bus,['کرمانشاه'],کرمانشاه
bus,"['', 'تبری', 'تبریز']",تبریز
bus,['مشهد'],مشهد
bus,"['م', 'مش']",مشهد
flight,"['ك', 'كر']",کرمانشاه
flight,[''],اصفهان
flight,"['', '', '']",تهران
flight,"['کی', 'کیش']",کیش
train,[''],بندرعباس
train,[''],مشهد
train,[''],اهواز
train,[''],مشهد
bus,"['', '', 'ق', 'قز', 'قزو', 'قزوی']",قزوین
bus,['تهران'],تهران
bus,['شیراز'],شیراز
flight,"['تهران', 'تهرا', 'تهر', 'ته', 'ت', '']",قشم
bus,['تهران'],تهران
bus,"['', '', '', '', 'خرم', 'خرم ']",خرم آباد
bus,"['ق', 'قم']",قم
bus,"['', '', '', 'شی', 'شیراز']",شیراز
bus,"['م', 'مش', 'مشه']",مشهد
bus,"['', 'ع', 'عس', 'عسل']",عسلویه
bus,"['', 'خ']",خرم آباد
taxi,"['ق', 'قم']",قم
bus,['اصفهان'],اصفهان
bus,[''],تهران
bus,['یزد'],یزد
bus,['قم'],قم
bus,['یزد'],یزد
bus,[''],اصفهان
bus,[''],خوانسار
flight,[''],کیش
flight,[''],تهران
bus,"['آ', 'آمل']",آمل
flight,"['', '']",تهران
hotel,['تبریز'],تبریز
hotel,['اهواز'],اهواز
flight,[''],اهواز
flight,[''],تهران
flight,"['ک', 'کر', 'کرم', 'کرما']",کرمانشاه
taxi,['تهران'],تهران
train,[''],تهران
bus,[''],یزد
hotel,['قم'],قم
bus,[''],یزد
bus,[''],تهران
bus,['مشهد'],مشهد
bus,"['', 'دز']",دزفول
train,"['', 'د', 'دو']",دورود
flight,[''],شیراز
flight,"['v', 'va', 'vas']",سیواس
flight,"['i', 'is', 'ist']",استانبول
flight,"['', 'رز', 'ر', '', 'ز', 'زا']",زاهدان
bus,['مشهد'],مشهد
train,"['', 'ا', 'ار', 'ارا']",اراک
bus,[''],تهران
bus,['ا'],اردبیل
bus,"['ر', 'رس', 'رست', 'رس', 'ر', 'رش', 'رشت']",رشت
bus,['مشهد'],مشهد
flight,"['', 'م', 'مش', 'مشه', 'مشهد']",مشهد
bus,"['ز', 'زن', 'زنج']",زنجان
flight,[''],تهران
bus,['ق'],قم
bus,['تهران'],تهران
flight,[''],مشهد
bus,"['ب', 'با', 'ب', '', 'س', 'سا']",ساری
bus,['مشهد'],مشهد
hotel,['تهران'],تهران
bus,"['', 'قم']",قم
bus,[''],قم
train,"['', 'ق', 'قم']",قم
bus,['ایلام'],ایلام
train,[''],مشهد
bus,['مشهد'],مشهد
flight,[''],مشهد
train,"['', 'ق', 'قم']",قم
bus,[''],اصفهان
bus,[''],تهران
train,[''],تبریز
train,[''],تبریز
bus,"['', '']",شیراز
flight,"['', 'اهو']",اهواز
bus,"['', 'ای', 'ایلا', 'ایلام', '', 'ک', 'کرم', 'کرما', '', '', '', 'ا', 'ایلا', 'ایلام']",ایلام
bus,['مشهد'],مشهد
bus,['مشهد'],مشهد
train,"['', 'خ']",خراسانک
flight,[''],تهران
bus,"['', 'j', 'ji', 'jiv', 'jivh', 'jivhk']",تهران
train,"['تبریز', '', 'م', 'مش', '']",مراغه
bus,"['ا', 'اص', 'اصف']",اصفهان
bus,"['س', 'سی', 'سیر', 'سیرج']",سیرجان
flight,"['خدم', 'خدم ', 'خدم', 'خد', 'خ']",خرم‌آباد
flight,['عس'],عسلویه
bus,"['', 'خ', 'خر']",خرم آباد
bus,[''],مشهد
bus,"['ت', 'ته', 'تهر', 'تهرا', 'تهران']",تهران
bus,[''],شیراز
bus,[''],کرمان
flight,"['د', 'دب', 'دبی']",دبی
bus,['اسفراین'],اسفراین
bus,"['', 'ی', 'یز', 'یزد']",یزد
flight,"['f', 'fk', 'fkn', 'fknv', 'fkn', 'fk', 'f', '', 'ب', 'بم', 'ب', 'بن', 'بند', 'بندر']",بندرعباس
hotel,['سیرجان'],سیرجان
hotel,['ایلام'],ایلام
flight,"['د', 'دب', 'دبی']",دبی
bus,[''],اصفهان
bus,['مشهد'],مشهد
hotel,['گرگان'],گرگان
flight,[''],تهران
flight,[''],شیراز
bus,[''],قم
bus,"['', 'م', 'مهرا', 'مهرام', 'مهرا', 'مهران']",مهران
flight,"['ن', 'نج']",نجف
bus,"['', '', '', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
flight,"['', '', '', 'ک', 'کی', 'کیش', '', '', 'ک', 'کی']",کیش
train,[''],تبریز
train,[''],مشهد
bus,"['', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
flight,"['', 'م', 'مش']",مشهد
bus,"['', '', '']",تهران
bus,['تهران'],تهران
flight,[''],تهران
flight,"['', 'ک', 'کی']",کیش
flight,"['ز', 'زا', 'زاه', 'زاهد']",زاهدان
flight,"['', '']",تهران
flight,"['', '', '', 'ن', 'نج']",نجف
flight,"['', 'د', 'دو', 'دوح', 'دوحه', 'دوح', 'دو', 'د', '', '', 'د', 'دو', 'دوح']",دوحه
bus,"['', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
bus,[''],اصفهان
bus,[''],خوانسار
flight,[''],شیراز
flight,"['', '']",تهران
bus,['اهواز'],اهواز
flight,"['', '']",زابل
train,[''],بندرعباس
train,[''],تهران
flight,"['ا', 'ای']",ایلام
flight,"['', 'j', 'ji', 'jiv', 'jivh', 'jivhk', 'jivh', 'jiv', 'ji', 'j', '', 'ت', 'ته', 'تهر', 'تهرذ', 'تهرذا', 'تهرذان', 'تهرذا', 'تهرذ', 'تهر', 'تهرا', 'تهران']",تهران
bus,[''],تهران
flight,"['', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
bus,['تهران'],تهران
flight,"['بن', 'بند', 'بندر']",بندرعباس
train,"['ش', 'شی']",شیراز
flight,"['', 'ق', 'قش']",قشم
flight,[''],مشهد
bus,"['', '', 'شاه']",شاهرود
bus,[''],تهران
train,"['', 'ش', 'شی']",شیرگاه
bus,"['', 'ر']",رشت
flight,[''],اصفهان
bus,['تهران'],تهران
flight,[''],تهران
train,"['', '']",جوین
flight,"['ک', 'کیش']",کیش
flight,[''],مشهد
train,[''],بندرعباس
flight,"['ی', 'یز']",یزد
train,"['', '', '']",مشهد
flight,[''],بندرعباس
bus,[''],تهران
flight,"['ک', 'کی', 'کیش']",کیش
hotel,['کرج'],کرج
flight,[''],تهران
taxi,['گرگان'],گرگان
hotel,['شاهرود'],شاهرود
bus,"['ب', 'بوش', 'بوشه', 'بوشهر']",بوشهر
bus,"['', 'ش', 'شا']",شاهین شهر
bus,['مشهد'],مشهد
bus,"['ش', 'شی', 'شیرا', 'شیراز']",شیراز
bus,"['', 'ق', 'قش', 'قشم']",قشم
