author,published,site_url,type,label
EdJenner,2016-11-02T17:01:06.208+02:00,dailywire.com,bias,Real
Alex Ansary,2016-11-07T20:01:08.529+02:00,amtvmedia.com,bs,Fake
Alex Ansary,2016-10-27T15:48:52.100+03:00,amtvmedia.com,bs,Fake
Rmuse,2016-10-27T17:45:32.062+03:00,politicususa.com,bias,Real
Infowars Nightly News,2016-10-28T22:37:02.718+03:00,infowars.com,conspiracy,Fake
No Author,2016-10-27T15:12:28.925+03:00,awdnews.com,conspiracy,Fake
Adalia Woodbury,2016-10-31T05:57:56.791+02:00,politicususa.com,bias,Real
Activist Post,2016-11-02T01:00:30.756+02:00,activistpost.com,conspiracy,Fake
frenchfries,2016-10-27T11:15:29.892+03:00,abovetopsecret.com,bs,Fake
"David Gutierrez, staff writer",2016-10-29T14:00:00.000+03:00,naturalnews.com,junksci,Fake
Jason Easley,2016-10-28T18:10:27.176+03:00,politicususa.com,bias,Real
Bob Unruh,2016-10-26T21:16:31.526+03:00,wnd.com,bias,Real
Alex Ansary,2016-10-27T15:31:55.575+03:00,amtvmedia.com,bs,Fake
BareNakedIslam,2016-10-27T00:12:35.588+03:00,barenakedislam.com,bs,Fake
Palm Beach Post,2016-10-28T18:51:01.758+03:00,infowars.com,conspiracy,Fake
Patrick G. Eddington,2016-10-28T05:10:09.820+03:00,infowars.com,conspiracy,Fake
No Author,2016-11-11T13:00:00.000+02:00,clickhole.com,satire,Fake
No Author,2016-11-14T01:54:13.190+02:00,addictinginfo.org,bias,Real
Daniel Barker,2016-10-27T14:00:00.000+03:00,naturalnews.com,junksci,Fake
Lee Adler,2016-10-27T16:16:46.017+03:00,davidstockmanscontracorner.com,bs,Fake
J. D. Heyes,2016-11-02T07:13:15.864+02:00,naturalnews.com,junksci,Fake
No Author,2016-10-27T18:48:00.000+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-27T18:52:00.000+03:00,awdnews.com,conspiracy,Fake
Rosemary Hansen,2016-10-31T21:47:54.967+02:00,naturalnews.com,junksci,Fake
Quintus Curtius,2016-11-07T22:01:07.903+02:00,returnofkings.com,hate,Real
Twain Yobra,2016-10-27T23:14:00.000+03:00,naturalnews.com,junksci,Fake
ActivistPost,2016-11-04T19:56:01.728+02:00,activistpost.com,conspiracy,Fake
Steve Watson,2016-10-27T14:29:22.783+03:00,infowars.com,conspiracy,Fake
Jean-Batave Poqueliche,2016-11-08T15:07:57.871+02:00,returnofkings.com,hate,Real
No Author,2016-11-12T02:14:09.185+02:00,clickhole.com,satire,Fake
admin,2016-10-26T22:31:00.000+03:00,prisonplanet.com,conspiracy,Fake
Pat Cocivera,2016-10-26T22:46:36.903+03:00,westernjournalism.com,bias,Real
Mohsen Abdelmoumen,2016-11-04T02:00:00.000+02:00,ahtribune.com,bs,Fake
Bill Federer,2016-10-27T00:40:20.883+03:00,wnd.com,bias,Real
Anonymous,2016-10-29T09:34:00.000+03:00,abeldanger.net,bs,Fake
Letsbereal,2016-10-26T17:14:00.000+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-10-29T18:06:18.403+03:00,awdnews.com,conspiracy,Fake
Zero Hedge,2016-11-02T17:53:53.926+02:00,thedailysheeple.com,bs,Fake
No Author,2016-10-28T18:40:18.626+03:00,awdnews.com,conspiracy,Fake
Jon Anthony,2016-11-03T03:01:20.445+02:00,returnofkings.com,hate,Real
No Author,2016-10-27T16:17:54.483+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-10-27T04:14:57.098+03:00,prisonplanet.com,conspiracy,Fake
Activist Post,2016-11-04T17:36:57.750+02:00,activistpost.com,conspiracy,Fake
Alex Ansary,2016-11-02T04:54:00.000+02:00,amtvmedia.com,bs,Fake
No Author,2016-11-13T03:51:00.000+02:00,21stcenturywire.com,conspiracy,Fake
Bill Federer,2016-10-27T00:57:40.040+03:00,wnd.com,bias,Real
Elbert Kelly Sr,2016-10-26T22:46:36.978+03:00,westernjournalism.com,bias,Real
Staff,2016-11-05T20:51:24.174+02:00,davidduke.com,hate,Real
Jason Easley,2016-10-28T00:33:09.717+03:00,politicususa.com,bias,Real
No Author,2016-11-14T01:53:53.917+02:00,addictinginfo.org,bias,Real
The angel of light,2016-10-27T02:54:55.783+03:00,abovetopsecret.com,bs,Fake
Henry Wolff,2016-10-29T04:39:09.817+03:00,amren.com,bs,Fake
No Author,2016-11-01T18:37:32.022+02:00,clickhole.com,satire,Fake
Topher Frankenberg,2016-10-26T22:46:20.378+03:00,westernjournalism.com,bias,Real
No Author,2016-11-08T20:25:41.476+02:00,thepeoplescube.com,bs,Fake
Rebecca Bennett,2016-11-12T00:27:00.000+02:00,adobochronicles.com,fake,Fake
Dml Daily,2016-11-04T16:06:53.557+02:00,dennismichaellynch.com,bs,Fake
Anonymous,2016-10-26T22:07:00.000+03:00,abeldanger.net,bs,Fake
Activist Post,2016-10-29T01:20:19.157+03:00,activistpost.com,conspiracy,Fake
Infowars.com,2016-10-28T05:09:26.974+03:00,infowars.com,conspiracy,Fake
Barracuda Brigade,2016-11-23T21:06:00.000+02:00,100percentfedup.com,bias,Real
Matt Agorist,2016-11-01T17:19:22.720+02:00,thefreethoughtproject.com,bs,Fake
Ron Smith,2016-10-26T17:18:00.000+03:00,ahtribune.com,bs,Fake
No Author,2016-11-10T15:29:08.030+02:00,legorafi.fr,satire,Fake
Ivana M,2016-10-27T09:07:00.000+03:00,redstatewatcher.com,hate,Real
Jason Easley,2016-10-31T01:27:53.964+02:00,politicususa.com,bias,Real
No Author,2016-11-16T11:04:22.889+02:00,legorafi.fr,satire,Fake
Roosh Valizadeh,2016-11-14T20:01:25.101+02:00,returnofkings.com,hate,Real
tokyowashi (noreply@blogger.com),2016-10-28T14:03:12.156+03:00,abeldanger.net,bs,Fake
Letsbereal,2016-10-26T17:25:00.000+03:00,prisonplanet.com,conspiracy,Fake
BBC,2016-10-28T01:12:00.354+03:00,infowars.com,conspiracy,Fake
Fed Up,2016-11-10T08:41:00.000+02:00,100percentfedup.com,bias,Real
SUPREMEMASTER,2016-10-26T17:15:00.000+03:00,prisonplanet.com,conspiracy,Fake
Maximus Decimus Meridius,2016-10-29T23:51:47.390+03:00,returnofkings.com,hate,Real
The Free Thought Project,2016-11-02T14:34:20.239+02:00,theonion.com,bs,Fake
Alan Elstob,2016-10-26T22:46:31.453+03:00,westernjournalism.com,bias,Real
EdJenner,2016-11-03T07:22:47.467+02:00,frontpagemag.com,hate,Real
Larry Elder,2016-10-27T02:39:06.175+03:00,wnd.com,bias,Real
tokyowashi (noreply@blogger.com),2016-11-01T00:49:25.485+02:00,abeldanger.net,bs,Fake
admin,2016-10-27T17:45:13.140+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-10-28T18:34:48.985+03:00,awdnews.com,conspiracy,Fake
Hrafnkell Haraldsson,2016-11-01T14:12:25.988+02:00,politicususa.com,bias,Real
No Author,2016-10-27T09:20:19.116+03:00,clickhole.com,satire,Fake
Barracuda Brigade,2016-10-31T01:41:49.479+02:00,100percentfedup.com,bias,Real
Activist Post,2016-11-01T19:21:58.828+02:00,activistpost.com,conspiracy,Fake
No Author,2016-10-26T18:55:00.000+03:00,westernjournalism.com,bias,Real
Terry Coleman,2016-10-26T22:46:36.827+03:00,westernjournalism.com,bias,Real
Madeline,2016-10-26T21:06:38.611+03:00,galacticconnection.com,bs,Fake
"Mike Adams, NaturalNews Editor",2016-10-28T14:00:00.000+03:00,naturalnews.com,junksci,Fake
Paradoxroutine,2016-10-27T11:15:32.457+03:00,abovetopsecret.com,bs,Fake
Don Wrightman,2016-11-23T22:47:00.000+02:00,politicususa.com,bias,Real
Henry Wolff,2016-10-27T06:13:00.000+03:00,amren.com,bs,Fake
No Author,2016-11-16T22:43:00.000+02:00,clickhole.com,satire,Fake
No Author,2016-11-09T00:24:44.138+02:00,clickhole.com,satire,Fake
Jason Easley,2016-10-30T23:43:27.358+02:00,politicususa.com,bias,Real
Shawn Helton,2016-11-04T00:03:00.000+02:00,21stcenturywire.com,conspiracy,Fake
Gillian,2016-11-06T16:12:21.898+02:00,shiftfrequency.com,bs,Fake
tokyowashi (noreply@blogger.com),2016-10-31T06:10:04.338+02:00,abeldanger.net,bs,Fake
Daniel Greenfield,2016-10-28T07:54:59.950+03:00,frontpagemag.com,hate,Real
Rich Ledergerber,2016-10-26T22:46:31.737+03:00,westernjournalism.com,bias,Real
karencole,2016-10-28T19:57:00.000+03:00,naturalnews.com,junksci,Fake
admin,2016-10-27T16:41:44.277+03:00,prisonplanet.com,conspiracy,Fake
Barracuda Brigade,2016-10-26T21:41:00.000+03:00,100percentfedup.com,bias,Real
No Author,2016-11-17T15:00:00.000+02:00,coasttocoastam.com,bs,Fake
EdJenner,2016-11-21T16:21:48.029+02:00,dailywire.com,bias,Real
Ann Coulter,2016-10-27T02:39:05.813+03:00,wnd.com,bias,Real
Paul Reinhardt,2016-10-26T22:46:37.467+03:00,westernjournalism.com,bias,Real
No Author,2016-10-30T13:16:35.059+02:00,awdnews.com,conspiracy,Fake
No Author,2016-10-27T06:16:00.000+03:00,dailywire.com,bias,Real
No Author,2016-11-06T22:52:00.000+02:00,21stcenturywire.com,conspiracy,Fake
EdJenner,2016-11-23T15:47:50.342+02:00,dailywire.com,bias,Real
Fiona Miller,2016-10-28T00:06:00.000+03:00,infowars.com,conspiracy,Fake
Brandon Turbeville,2016-11-09T01:16:24.080+02:00,activistpost.com,conspiracy,Fake
No Author,2016-10-28T18:22:31.695+03:00,awdnews.com,conspiracy,Fake
Daniel Greenfield,2016-11-03T06:48:44.984+02:00,frontpagemag.com,hate,Real
Bennie Frazier,2016-10-26T22:46:58.790+03:00,westernjournalism.com,bias,Real
No Author,2016-11-09T06:39:24.595+02:00,legorafi.fr,satire,Fake
No Author,2016-11-21T09:51:13.054+02:00,legorafi.fr,satire,Fake
PraetorianAZ,2016-10-26T23:51:00.000+03:00,abovetopsecret.com,bs,Fake
Drew Dickey,2016-10-26T22:46:19.314+03:00,westernjournalism.com,bias,Real
Dr. Patrick Slattery,2016-11-09T11:07:02.305+02:00,davidduke.com,hate,Real
Quintus Curtius,2016-11-14T23:05:12.566+02:00,returnofkings.com,hate,Real
Gillian,2016-11-06T21:00:44.777+02:00,shiftfrequency.com,bs,Fake
Henry Wolff,2016-10-29T04:39:10.675+03:00,amren.com,bs,Fake
Madeline,2016-10-26T21:06:44.752+03:00,galacticconnection.com,bs,Fake
No Author,2016-11-22T12:35:09.365+02:00,legorafi.fr,satire,Fake
Katie,2016-10-29T00:46:08.446+03:00,fromthetrenchesworldreport.com,bs,Fake
André du Pôle,2016-11-05T20:40:33.135+02:00,returnofkings.com,hate,Real
Letsbereal,2016-10-26T11:26:00.000+03:00,prisonplanet.com,conspiracy,Fake
Activist Post,2016-11-01T05:00:32.254+02:00,activistpost.com,conspiracy,Fake
ActivistPost,2016-10-30T02:06:06.807+02:00,activistpost.com,conspiracy,Fake
EdJenner,2016-11-08T23:12:19.492+02:00,dailywire.com,bias,Real
Hal Apeeno,2016-10-28T15:53:05.074+03:00,fromthetrenchesworldreport.com,bs,Fake
Jason Easley,2016-10-29T03:41:08.886+03:00,politicususa.com,bias,Real
Activist Post,2016-11-07T03:55:20.620+02:00,activistpost.com,conspiracy,Fake
Anonymous,2016-10-30T10:01:00.000+02:00,abeldanger.net,bs,Fake
No Author,2016-11-12T18:52:00.000+02:00,corbettreport.com,bs,Fake
Jerry Miller,2016-10-26T22:46:21.055+03:00,westernjournalism.com,bias,Real
No Author,2016-11-03T11:22:00.000+02:00,addictinginfo.org,bias,Real
Raymond Ibrahim,2016-10-28T07:55:00.777+03:00,frontpagemag.com,hate,Real
Luke Stranahan,2016-11-02T14:09:51.386+02:00,returnofkings.com,hate,Real
No Author,2016-11-15T11:36:00.000+02:00,addictinginfo.org,bias,Real
Rhonda Gilmore,2016-10-26T22:46:44.682+03:00,westernjournalism.com,bias,Real
Fed Up,2016-11-04T19:40:00.000+02:00,100percentfedup.com,bias,Real
Activist Post,2016-10-29T22:20:10.208+03:00,activistpost.com,conspiracy,Fake
PraetorianAZ,2016-10-28T02:09:14.728+03:00,abovetopsecret.com,bs,Fake
Richard Baehr,2016-10-28T07:54:59.211+03:00,frontpagemag.com,hate,Real
No Author,2016-10-28T22:35:57.599+03:00,departed.co,bs,Fake
No Author,2016-10-26T23:10:00.000+03:00,awdnews.com,conspiracy,Fake
Robert Spencer,2016-10-27T09:20:32.939+03:00,frontpagemag.com,hate,Real
Mike Rivero,2016-11-17T00:41:00.000+02:00,21stcenturywire.com,conspiracy,Fake
No Author,2016-11-09T01:59:43.631+02:00,legorafi.fr,satire,Fake
Roosh Valizadeh,2016-11-16T00:00:00.000+02:00,returnofkings.com,hate,Real
No Author,2016-11-06T03:50:00.000+02:00,addictinginfo.org,bias,Real
Sarah Jones,2016-10-29T03:41:06.368+03:00,politicususa.com,bias,Real
No Author,2016-11-22T00:59:00.000+02:00,dailywire.com,bias,Real
No Author,2016-10-28T18:22:28.381+03:00,awdnews.com,conspiracy,Fake
Activist Post,2016-10-29T03:45:28.365+03:00,activistpost.com,conspiracy,Fake
ghostrager,2016-10-27T07:31:00.000+03:00,abovetopsecret.com,bs,Fake
EdJenner,2016-11-04T07:17:16.422+02:00,frontpagemag.com,hate,Real
No Author,2016-11-17T17:04:11.929+02:00,legorafi.fr,satire,Fake
No Author,2016-10-26T18:58:00.000+03:00,westernjournalism.com,bias,Real
Corbett,2016-11-17T20:39:13.088+02:00,corbettreport.com,bs,Fake
Sarah Jones,2016-10-31T03:32:38.003+02:00,politicususa.com,bias,Real
EdJenner,2016-11-02T22:46:11.857+02:00,dailywire.com,bias,Real
Corbett,2016-11-11T17:49:12.253+02:00,corbettreport.com,bs,Fake
No Author,2016-10-28T18:34:48.130+03:00,awdnews.com,conspiracy,Fake
Jack Cashill,2016-10-27T02:38:43.604+03:00,wnd.com,bias,Real
No Author,2016-11-07T00:26:58.297+02:00,addictinginfo.org,bias,Real
Arch Stanton,2016-10-28T14:49:32.847+03:00,darkmoon.me,bs,Fake
No Author,2016-11-01T18:37:32.630+02:00,clickhole.com,satire,Fake
greanfinisher .,2016-11-18T17:06:00.000+02:00,theeconomiccollapseblog.com,bs,Fake
Zero Hedge,2016-11-02T16:45:37.124+02:00,thedailysheeple.com,bs,Fake
No Author,2016-10-29T03:05:44.100+03:00,clickhole.com,satire,Fake
No Author,2016-10-27T03:46:38.828+03:00,prisonplanet.com,conspiracy,Fake
EdJenner,2016-11-03T08:46:48.102+02:00,dailywire.com,bias,Real
Hesh Goldstein,2016-11-02T02:52:00.000+02:00,naturalnews.com,junksci,Fake
Prof. Tony Hall,2016-11-21T02:00:00.000+02:00,ahtribune.com,bs,Fake
Robert Franek,2016-10-30T18:24:32.363+02:00,politicususa.com,bias,Real
admin,2016-10-27T14:39:33.137+03:00,prisonplanet.com,conspiracy,Fake
Activist Post,2016-10-28T19:38:59.262+03:00,activistpost.com,conspiracy,Fake
Activist Post,2016-11-02T18:25:27.690+02:00,activistpost.com,conspiracy,Fake
Henry Wolff,2016-11-03T02:48:34.163+02:00,amren.com,bs,Fake
Vicki Batts,2016-10-28T09:33:58.211+03:00,naturalnews.com,junksci,Fake
Activist Post,2016-11-01T18:26:34.928+02:00,activistpost.com,conspiracy,Fake
Sarah Jones,2016-10-31T17:05:27.146+02:00,politicususa.com,bias,Real
Activist Post,2016-11-02T00:12:19.459+02:00,activistpost.com,conspiracy,Fake
Bruce Thornton,2016-11-02T06:45:42.060+02:00,frontpagemag.com,hate,Real
Caroline Glick,2016-10-28T07:55:02.971+03:00,frontpagemag.com,hate,Real
Jason Easley,2016-10-26T23:38:10.835+03:00,politicususa.com,bias,Real
Anonymous,2016-10-30T10:01:00.000+02:00,abeldanger.net,bs,Fake
David Stockman,2016-10-27T16:16:45.307+03:00,davidstockmanscontracorner.com,bs,Fake
No Author,2016-11-20T23:51:00.000+02:00,dennismichaellynch.com,bs,Fake
ahtribune.com,2016-11-03T02:00:00.000+02:00,ahtribune.com,bs,Fake
Activist Post,2016-11-01T18:26:34.980+02:00,activistpost.com,conspiracy,Fake
Relampago Furioso,2016-11-01T22:03:12.674+02:00,returnofkings.com,hate,Real
Steve Watson,2016-10-28T15:51:31.139+03:00,infowars.com,conspiracy,Fake
No Author,2016-11-15T15:00:00.000+02:00,coasttocoastam.com,bs,Fake
André du Pôle,2016-10-27T20:01:14.275+03:00,returnofkings.com,hate,Real
Rmuse,2016-10-29T22:54:59.504+03:00,politicususa.com,bias,Real
No Author,2016-10-28T18:15:56.606+03:00,clickhole.com,satire,Fake
admin,2016-10-27T16:41:32.168+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-10-28T18:40:25.233+03:00,awdnews.com,conspiracy,Fake
No Author,2016-11-15T12:16:33.861+02:00,legorafi.fr,satire,Fake
johnrussell,2016-10-27T20:30:00.000+03:00,naturalnews.com,junksci,Fake
Sarah Jones,2016-10-29T03:41:08.721+03:00,politicususa.com,bias,Real
Daniel Greenfield,2016-10-27T09:20:32.054+03:00,frontpagemag.com,hate,Real
"Mike Adams, NaturalNews Editor",2016-10-30T13:00:00.000+02:00,naturalnews.com,junksci,Fake
Daniel Greenfield,2016-10-31T14:57:59.335+02:00,frontpagemag.com,hate,Real
No Author,2016-10-28T20:05:00.000+03:00,amren.com,bs,Fake
Kyle Trouble,2016-11-08T18:01:22.038+02:00,returnofkings.com,hate,Real
Mike Rivero,2016-11-04T01:42:42.571+02:00,whatreallyhappened.com,bs,Fake
"David Gutierrez, staff writer",2016-10-27T11:36:20.197+03:00,naturalnews.com,junksci,Fake
Corbett,2016-11-22T17:27:39.754+02:00,corbettreport.com,bs,Fake
Daniel Greenfield,2016-11-01T23:56:39.211+02:00,frontpagemag.com,hate,Real
Beau Albrecht,2016-11-02T02:00:44.683+02:00,returnofkings.com,hate,Real
Barry Branscum,2016-10-26T22:46:34.787+03:00,westernjournalism.com,bias,Real
Jason Easley,2016-11-01T01:42:00.000+02:00,politicususa.com,bias,Real
Admin,2016-10-27T21:15:44.654+03:00,darkmoon.me,bs,Fake
tokyowashi (noreply@blogger.com),2016-10-31T02:03:09.291+02:00,abeldanger.net,bs,Fake
adobochron,2016-11-06T23:48:58.529+02:00,adobochronicles.com,fake,Fake
Sean Colarossi,2016-10-27T03:48:56.617+03:00,politicususa.com,bias,Real
Mike Rivero,2016-11-19T19:07:55.594+02:00,whatreallyhappened.com,bs,Fake
pak alresky,2016-10-28T11:58:00.000+03:00,abeldanger.net,bs,Fake
Brock Robinson,2016-11-17T16:04:10.667+02:00,returnofkings.com,hate,Real
Mikael Thalen,2016-10-29T04:46:56.416+03:00,infowars.com,conspiracy,Fake
Alex Ansary,2016-10-27T15:20:32.738+03:00,amtvmedia.com,bs,Fake
No Author,2016-11-10T00:11:07.991+02:00,dailywire.com,bias,Real
Dr. Patrick Slattery,2016-11-25T20:00:34.115+02:00,davidstockmanscontracorner.com,bs,Fake
Activist Post,2016-10-30T02:35:25.843+02:00,activistpost.com,conspiracy,Fake
Eligio Abellera,2016-11-15T18:56:14.861+02:00,adobochronicles.com,fake,Fake
No Author,2016-11-10T09:46:00.000+02:00,clickhole.com,satire,Fake
Rich Knoch,2016-10-26T22:46:37.784+03:00,westernjournalism.com,bias,Real
Activist Post,2016-11-08T18:00:23.026+02:00,activistpost.com,conspiracy,Fake
ActivistPost,2016-10-28T01:00:41.110+03:00,activistpost.com,conspiracy,Fake
Jason Easley,2016-11-02T03:51:01.264+02:00,politicususa.com,bias,Real
Daniel Greenfield,2016-10-31T05:57:54.365+02:00,frontpagemag.com,hate,Real
No Author,2016-11-04T23:25:00.000+02:00,addictinginfo.org,bias,Real
Kit Daniels,2016-10-28T21:12:09.621+03:00,infowars.com,conspiracy,Fake
Activist Post,2016-11-04T19:15:47.388+02:00,activistpost.com,conspiracy,Fake
Harry Abrams,2016-11-06T19:29:00.000+02:00,ahtribune.com,bs,Fake
EdJenner,2016-11-08T09:03:50.825+02:00,dailywire.com,bias,Real
Pam Wilkerson Harrod,2016-10-26T22:46:37.596+03:00,westernjournalism.com,bias,Real
Jon Anthony,2016-11-10T15:01:41.292+02:00,returnofkings.com,hate,Real
No Author,2016-11-05T01:09:27.580+02:00,clickhole.com,satire,Fake
No Author,2016-10-31T01:25:00.000+02:00,addictinginfo.org,bias,Real
Prof. Tony Hall,2016-11-08T02:00:00.000+02:00,ahtribune.com,bs,Fake
admin,2016-10-27T16:44:25.944+03:00,prisonplanet.com,conspiracy,Fake
Chris Menahan,2016-10-27T13:22:10.427+03:00,dcclothesline.com,bs,Fake
gortex,2016-10-27T02:18:00.000+03:00,abovetopsecret.com,bs,Fake
No Author,2016-10-28T09:30:00.000+03:00,dcclothesline.com,bs,Fake
Martist,2016-10-28T15:53:00.520+03:00,fromthetrenchesworldreport.com,bs,Fake
Kelen M,2016-10-28T00:15:49.727+03:00,infowars.com,conspiracy,Fake
Infowars.com,2016-10-28T21:12:32.537+03:00,infowars.com,conspiracy,Fake
No Author,2016-11-14T17:54:51.425+02:00,legorafi.fr,satire,Fake
Activist Post,2016-11-03T02:40:30.832+02:00,activistpost.com,conspiracy,Fake
Activist Post,2016-11-08T22:56:55.077+02:00,activistpost.com,conspiracy,Fake
Beau Albrecht,2016-11-25T00:07:57.204+02:00,shiftfrequency.com,bs,Fake
"Ethan A. Huff, staff writer",2016-10-30T13:00:00.000+02:00,naturalnews.com,junksci,Fake
Activist Post,2016-11-05T16:35:21.682+02:00,activistpost.com,conspiracy,Fake
Activist Post,2016-10-27T03:50:22.157+03:00,activistpost.com,conspiracy,Fake
No Author,2016-10-26T23:50:00.000+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-26T23:19:00.000+03:00,awdnews.com,conspiracy,Fake
beeeyotch,2016-10-28T06:57:08.471+03:00,abovetopsecret.com,bs,Fake
voltairenet.org,2016-10-27T03:00:00.000+03:00,washingtonsblog.com,bs,Fake
Activist Post,2016-10-31T17:05:11.328+02:00,activistpost.com,conspiracy,Fake
Henry Wolff,2016-10-28T06:29:00.000+03:00,amren.com,bs,Fake
ahtribune.com,2016-11-04T02:00:00.000+02:00,ahtribune.com,bs,Fake
James Holbrooks,2016-10-26T22:20:24.491+03:00,infowars.com,conspiracy,Fake
Henry Wolff,2016-10-29T04:39:07.365+03:00,amren.com,bs,Fake
Mike Rivero,2016-10-29T20:27:23.333+03:00,whatreallyhappened.com,bs,Fake
No Author,2016-10-28T18:34:49.524+03:00,awdnews.com,conspiracy,Fake
admin,2016-10-26T19:20:00.000+03:00,prisonplanet.com,conspiracy,Fake
Ilana Mercer,2016-10-28T07:55:06.853+03:00,frontpagemag.com,hate,Real
No Author,2016-11-14T11:31:33.532+02:00,legorafi.fr,satire,Fake
No Author,2016-10-27T12:23:59.627+03:00,counterpunch.org,bs,Fake
thefitgirl,2016-11-01T23:28:00.000+02:00,naturalnews.com,junksci,Fake
admin,2016-10-27T16:41:38.163+03:00,prisonplanet.com,conspiracy,Fake
Astronomy,2016-10-26T21:37:32.328+03:00,infowars.com,conspiracy,Fake
Doug Shelp,2016-10-26T22:46:35.095+03:00,westernjournalism.com,bias,Real
Don Wrightman,2016-11-23T00:03:00.000+02:00,newstarget.com,conspiracy,Fake
Roosh Valizadeh,2016-10-28T04:01:45.943+03:00,returnofkings.com,hate,Real
EdJenner,2016-11-24T00:49:53.077+02:00,dailywire.com,bias,Real
Joe from MassPrivateI,2016-10-28T16:08:48.284+03:00,fromthetrenchesworldreport.com,bs,Fake
Matthew Vadum,2016-10-28T07:54:59.346+03:00,frontpagemag.com,hate,Real
jeery park,2016-10-28T19:52:00.000+03:00,naturalnews.com,junksci,Fake
Admin,2016-11-22T17:49:50.111+02:00,darkmoon.me,bs,Fake
obbop,2016-10-31T23:37:00.000+02:00,ahtribune.com,bs,Fake
The Free Thought Project,2016-11-01T17:19:23.512+02:00,thefreethoughtproject.com,bs,Fake
admin,2016-10-27T16:41:39.430+03:00,prisonplanet.com,conspiracy,Fake
Jason Easley,2016-10-28T02:50:18.388+03:00,politicususa.com,bias,Real
reldra,2016-10-27T02:54:48.091+03:00,abovetopsecret.com,bs,Fake
No Author,2016-11-13T02:55:48.945+02:00,addictinginfo.org,bias,Real
Anonymous,2016-10-29T22:36:00.000+03:00,abeldanger.net,bs,Fake
Henry Wolff,2016-11-05T00:24:00.000+02:00,amren.com,bs,Fake
Greg Freeman,2016-10-28T15:01:12.706+03:00,returnofkings.com,hate,Real
Frank Face,2016-10-29T05:24:01.414+03:00,fromthetrenchesworldreport.com,bs,Fake
Jean-Batave Poqueliche,2016-11-03T14:05:59.491+02:00,returnofkings.com,hate,Real
Dml Daily,2016-11-12T22:17:00.000+02:00,dennismichaellynch.com,bs,Fake
EdJenner,2016-11-04T16:48:40.920+02:00,dailywire.com,bias,Real
Dottie Langhals,2016-10-26T22:46:18.629+03:00,westernjournalism.com,bias,Real
No Author,2016-11-01T18:37:37.398+02:00,clickhole.com,satire,Fake
admin,2016-10-27T13:58:56.218+03:00,prisonplanet.com,conspiracy,Fake
Kshatriya Indransha,2016-10-30T21:00:00.000+02:00,returnofkings.com,hate,Real
No Author,2016-10-30T13:16:35.292+02:00,awdnews.com,conspiracy,Fake
Dr. Patrick Slattery,2016-11-16T00:55:00.000+02:00,davidduke.com,hate,Real
Profusion,2016-10-27T08:06:00.000+03:00,abovetopsecret.com,bs,Fake
Ike Mclean,2016-11-21T22:08:00.000+02:00,dennismichaellynch.com,bs,Fake
AFRICA-NEWS,2016-11-22T22:01:00.000+02:00,infowars.com,conspiracy,Fake
Jason Easley,2016-11-01T20:41:22.161+02:00,politicususa.com,bias,Real
American News,2016-11-10T12:26:00.000+02:00,americannews.com,bs,Fake
Letsbereal,2016-10-26T12:02:00.000+03:00,prisonplanet.com,conspiracy,Fake
Jack McLeod,2016-10-26T22:46:46.485+03:00,westernjournalism.com,bias,Real
No Author,2016-10-28T18:40:16.159+03:00,awdnews.com,conspiracy,Fake
ActivistPost,2016-10-29T19:10:18.488+03:00,activistpost.com,conspiracy,Fake
No Author,2016-11-02T22:56:00.000+02:00,dailywire.com,bias,Real
No Author,2016-10-27T01:45:00.000+03:00,clickhole.com,satire,Fake
Daniel Greenfield,2016-11-03T18:46:56.679+02:00,frontpagemag.com,hate,Real
Jason Easley,2016-11-02T06:07:14.644+02:00,politicususa.com,bias,Real
EdJenner,2016-11-25T09:24:40.752+02:00,100percentfedup.com,bias,Real
Vicki Batts,2016-10-27T11:36:23.054+03:00,naturalnews.com,junksci,Fake
Daisy Luther,2016-10-31T13:12:49.690+02:00,dcclothesline.com,bs,Fake
Dikran Arakelian (noreply@blogger.com),2016-11-01T17:02:58.623+02:00,wnd.com,bias,Real
Josh Stockton,2016-10-31T21:47:46.034+02:00,naturalnews.com,junksci,Fake
Joan Workman,2016-10-26T22:46:59.072+03:00,whatreallyhappened.com,bs,Fake
No Author,2016-10-31T02:43:35.030+02:00,addictinginfo.org,bias,Real
No Author,2016-10-27T19:05:51.507+03:00,prisonplanet.com,bias,Real
Angel - NYC,2016-10-29T05:24:02.205+03:00,fromthetrenchesworldreport.com,hate,Real
Lisa Blake Bilinski,2016-10-26T22:46:36.791+03:00,westernjournalism.com,bias,Real
Jason Easley,2016-10-29T21:05:49.223+03:00,politicususa.com,bias,Real
No Author,2016-10-27T01:27:23.314+03:00,prisonplanet.com,conspiracy,Fake
The Free Thought Project,2016-10-30T13:12:36.265+02:00,dcclothesline.com,bs,Fake
Infowars.com,2016-10-28T01:12:00.397+03:00,infowars.com,conspiracy,Fake
No Author,2016-10-27T21:14:42.326+03:00,awdnews.com,conspiracy,Fake
No Author,2016-11-24T11:46:00.000+02:00,countercurrents.org,bs,Fake
